id|name|user|password|email|image_url|district_id
1|Super Administrador|admin|123|root@ulima.edu.pe|https://pokefanaticos.com/pokedex/assets/images/pokemon_imagenes/1.png|1528
2|Pepe Valdivia|pepe|123|pepe@ulima.edu.pe|https://pokefanaticos.com/pokedex/assets/images/pokemon_imagenes/2.png|875
3|Sila Esculapia|sila|123|sila@ulima.edu.pe|https://pokefanaticos.com/pokedex/assets/images/pokemon_imagenes/3.png|754
4|Mateo Sanchez|mateo|123|mateo@ulima.edu.pe|https://pokefanaticos.com/pokedex/assets/images/pokemon_imagenes/4.png|990
5|Marcos Perez|marcos|123|marcos@ulima.edu.pe|https://pokefanaticos.com/pokedex/assets/images/pokemon_imagenes/5.png|22
6|Lucas Moura|lucas|123|lucas@ulima.edu.pe|https://pokefanaticos.com/pokedex/assets/images/pokemon_imagenes/6.png|586
7|Juan Vargas|juan|123|juan@ulima.edu.pe|https://pokefanaticos.com/pokedex/assets/images/pokemon_imagenes/7.png|1676
8|Judas Iscariote|judas|123|judas@ulima.edu.pe|https://pokefanaticos.com/pokedex/assets/images/pokemon_imagenes/8.png|1685
9|Tito Garcia|tito|123|tito@ulima.edu.pe|https://pokefanaticos.com/pokedex/assets/images/pokemon_imagenes/9.png|920
10|Filemon Peluche|filemon|123|filemon@ulima.edu.pe|https://pokefanaticos.com/pokedex/assets/images/pokemon_imagenes/9.png|737
